STATE,STATE FIPS,COUNTY,COUNTY FIPS,FACILITY,EIS ID,ADDRESS,CITY,ZIP CODE,POLLUTANT,POLLUTANT TYPE,EMISSIONS,UNIT OF MEASURE,FACILITY TYPE,NAICS CODE,NAICS DESCRIPTION
CA,06,Alameda,06001,ALTA BATES SUMMIT MEDICAL CENTER,400311,350 HAWTHORNE AVE,OAKLAND,94609,Nitrogen Oxides,CAP,6.45862079,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,Livermore Muni,10522911,Unknown,Livermore,00000,Nitrogen Oxides,CAP,5.952627263,TON,Airport,48811,AIRPORT OPERATIONS
CA,06,Alameda,06001,"CHILDREN'S HOSPITAL, OAKLAND",10460511,747 52ND STREET,OAKLAND,94609,Nitrogen Oxides,CAP,5.90295431,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,GHIRARDELLI CHOCOLATE CO,340611,1111 139TH AVENUE,SAN LEANDRO,94578,Nitrogen Oxides,CAP,5.680255858,TON,Food Products Processing Plant,311351,
CA,06,Alameda,06001,AMERICAN LICORICE COMPANY,513511,2477 LISTON WAY,UNION CITY,94587,Nitrogen Oxides,CAP,5.5308147,TON,,311352,
CA,06,Alameda,06001,WASHINGTON HOSPITAL,402011,2000 MOWRY AVENUE,FREMONT,94538,Nitrogen Oxides,CAP,4.85930621,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,ALTA BATES SUMMIT MEDICAL CENTER,400211,3100 SUMMIT STREET,OAKLAND,94623,Nitrogen Oxides,CAP,4.850432706,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,"COULTER FORGE COMPANY, INC",14253811,1494 67TH STREET,EMERYVILLE,94608,Nitrogen Oxides,CAP,4.75713083,TON,,332111,IRON AND STEEL FORGING.
CA,06,Alameda,06001,WAREHAM DEVELOPMENT,10482711,HORTON STREET,EMERYVILLE,94608,Nitrogen Oxides,CAP,4.577078626,TON,,237210,LAND SUBDIVISION.
CA,06,Alameda,06001,IMPAX PHARMACEUTICALS INC,10511711,31153 SAN ANTONIO RD,HAYWARD,94544,Nitrogen Oxides,CAP,4.48170088,TON,,325412,PHARMACEUTICAL PREPARATION MANUFACTURING.
CA,06,Alameda,06001,ROHM AND HAAS CHEMICALS LLC,14272711,25500 WHITESELL ST,HAYWARD,94545,Nitrogen Oxides,CAP,4.421658943,TON,Chemical Plant,325211,PLASTICS MATERIAL AND RESIN MANUFACTURING.
CA,06,Alameda,06001,UNIVERSITY OF CALIFORNIA  BERKELEY,10517111,BERKELEY CAMPUS,BERKELEY,94720,Nitrogen Oxides,CAP,4.27591757,TON,"Institutional (school, hospital, prison, etc.)",611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS."
CA,06,Alameda,06001,CARGILL SALT,513211,7220 CENTRAL AVE,NEWARK,94560,Nitrogen Oxides,CAP,4.22160391,TON,Food Products Processing Plant,311942,SPICE AND EXTRACT MANUFACTURING.
CA,06,Alameda,06001,"NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH, INC",17251511,5300 CHIRON WAY,EMERYVILLE,94608,Nitrogen Oxides,CAP,4.04131255,TON,,541714,
CA,06,Alameda,06001,QUIKRETE NORTHERN CALIFORNIA,773711,6950 STEVENSON BLVD,FREMONT,94538,Nitrogen Oxides,CAP,4.0066,TON,"Concrete Block, Pipe or Other Manuf",327332,CONCRETE PIPE MANUFACTURING.
CA,06,Alameda,06001,GRANITE CONSTRUCTION CO,126811,1544 STANLEY BOULEVARD,PLEASANTON,94566,Nitrogen Oxides,CAP,3.880906,TON,,237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION."
CA,06,Alameda,06001,TAKARA SAKE USA INC,375111,708 ADDISON STREET,BERKELEY,94710,Nitrogen Oxides,CAP,3.77283,TON,Breweries/Distilleries/Wineries,424820,WINE AND DISTILLED ALCOHOLIC BEVERAGE MERCHANT WHOLESALERS.
CA,06,Alameda,06001,EAST BAY DISCHARGERS AUTHORITY,609211,2600 GRANT AVENUE,SAN LORENZO,94580,Nitrogen Oxides,CAP,3.557779839,TON,,221310,WATER SUPPLY AND IRRIGATION SYSTEMS.
CA,06,Alameda,06001,EMERALD PACKAGING INC,399911,33050 WESTERN AVENUE,UNION CITY,94587,Nitrogen Oxides,CAP,3.52497292,TON,,322220,
CA,06,Alameda,06001,COLUMBUS MANUFACTORING INC,18129311,3190 CORPORATE PLACE,HAYWARD,94545,Nitrogen Oxides,CAP,3.488485308,TON,,424470,MEAT AND MEAT PRODUCT MERCHANT WHOLESALERS.
CA,06,Alameda,06001,FREUND BAKING COMPANY,1106011,3265 INVESTMENT BLVD,HAYWARD,94545,Nitrogen Oxides,CAP,3.23437434,TON,Bakeries,311812,COMMERCIAL BAKERIES.
CA,06,Alameda,06001,"BAY AREA PRODUCTION SERVICES, LL",15768911,47540 KATO ROAD,FREMONT,94538,Nitrogen Oxides,CAP,3.028609924,TON,,323111,COMMERCIAL GRAVURE PRINTING.
CA,06,Alameda,06001,PACIFIC STEEL CASTING COMPANY LLC,3963311,1328 2ND STREET,BERKELEY,94710,Nitrogen Oxides,CAP,2.923244465,TON,"Foundries, Iron and Steel",331513,STEEL FOUNDRIES (EXCEPT INVESTMENT).
CA,06,Alameda,06001,BAY AREA LAUNDRY SERVICE,14048911,31177 WIEGMAN ROAD,HAYWARD,94544,Nitrogen Oxides,CAP,2.91523394,TON,Dry Cleaner - Petroleum Solvent,812320,DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED).
CA,06,Alameda,06001,VASCO ROAD LANDFILL,10523211,4001 N VASCO ROAD,LIVERMORE,94550,Nitrogen Oxides,CAP,2.8784708,TON,Landfill,562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL.
CA,06,Alameda,06001,"ASCENTRIS-105, LLC",13750711,"WATERFRONT, AT HARBOR BAY",ALAMEDA,94502,Nitrogen Oxides,CAP,2.856497418,TON,,334290,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING.
CA,06,Alameda,06001,"VULCAN MATERIALS, WESTERN DIVISION",446711,52 EL CHARRO ROAD,PLEASANTON,94588,Nitrogen Oxides,CAP,2.7108817,TON,Hot Mix Asphalt Plant,324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING.
CA,06,Alameda,06001,ALAMEDA COUNTY PUBLIC WORKS AGENCY,13761011,3455 ETTIE STREET,OAKLAND,94608,Nitrogen Oxides,CAP,2.693658428,TON,,925120,ADMINISTRATION OF URBAN PLANNING AND COMMUNITY AND RURAL DEVELOPMENT.
CA,06,Alameda,06001,"REYES COCA-COLA BOTTLING, LLC",15756011,14655 WICKS BOULEVARD,SAN LEANDRO,94577,Nitrogen Oxides,CAP,2.620563,TON,Food Products Processing Plant,312111,SOFT DRINK MANUFACTURING.
CA,06,Alameda,06001,MISSION LINEN SUPPLY,18132111,6590 CENTRAL AVE,NEWARK,94560,Nitrogen Oxides,CAP,2.59628121,TON,,812331,LINEN SUPPLY.
CA,06,Alameda,06001,WASTE MANAGEMENT INC,10708011,2615 DAVIS STREET,SAN LEANDRO,94577,Nitrogen Oxides,CAP,2.5868226,TON,Landfill,562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL.
CA,06,Alameda,06001,ALAMEDA HEALTH SYSTEM - HIGHLAND HOSPITAL CAMPUS,310211,1411 E 31ST STREET,OAKLAND,94602,Nitrogen Oxides,CAP,2.5334132,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,VALLEY MEMORIAL HOSPITAL,198111,1111 E STANLEY BLVD,LIVERMORE,94550,Nitrogen Oxides,CAP,2.456434182,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,BERKELEY FARMS INC,1122911,25500 CLAWITER ROAD,HAYWARD,94545,Nitrogen Oxides,CAP,2.442791041,TON,Food Products Processing Plant,311511,FLUID MILK MANUFACTURING.
CA,06,Alameda,06001,KAISER PERMANENTE MEDICAL CENTER,515011,39400 PASEO PADRE PKWY,FREMONT,94538,Nitrogen Oxides,CAP,2.42128347,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,JATCO INCORPORATED,10486211,34343 ZWISSIG WAY,UNION CITY,94587,Nitrogen Oxides,CAP,2.366742,TON,,326121,UNLAMINATED PLASTICS PROFILE SHAPE MANUFACTURING.
CA,06,Alameda,06001,BERKELEY FORGE & TOOL INC,405311,1331 EASTSHORE HWY,BERKELEY,94710,Nitrogen Oxides,CAP,2.34031521,TON,,324199,ALL OTHER PETROLEUM AND COAL PRODUCTS MANUFACTURING.
CA,06,Alameda,06001,LAWRENCE BERKELEY NATIONAL LABORATORY,448011,ONE CYCLOTRON ROAD,BERKELEY,94720,Nitrogen Oxides,CAP,2.318020622,TON,,541715,
CA,06,Alameda,06001,GEORGIA-PACIFIC GYPSUM LLC,445511,1988 MARINA BOULEVARD,SAN LEANDRO,94577,Nitrogen Oxides,CAP,2.199068797,TON,,327420,GYPSUM PRODUCT MANUFACTURING.
CA,06,Alameda,06001,"2000 MARINA LLC, A DELAWARE LIMITED LIABILITY COMP",18135811,1988 MARINA BOULEVARD,SAN LEANDRO,94577,Nitrogen Oxides,CAP,2.199068797,TON,,531190,LESSORS OF OTHER REAL ESTATE PROPERTY.
CA,06,Alameda,06001,SAN FRANCISCO PUBLIC UTILITIES COMMISSION,17244711,8653 CALAVERAS RD,SUNOL,94586,Nitrogen Oxides,CAP,2.139344,TON,,221310,WATER SUPPLY AND IRRIGATION SYSTEMS.
CA,06,Alameda,06001,LONGVIEW FIBRE PAPER AND PACKAGING INC,14267411,8511 BLAINE STREET,OAKLAND,94621,Nitrogen Oxides,CAP,2.138477,TON,,322211,CORRUGATED AND SOLID FIBER BOX MANUFACTURING.
CA,06,Alameda,06001,CARAVAN FOODS II DBA STERLING FOODS,1088711,33300 WESTERN AVENUE,UNION CITY,94587,Nitrogen Oxides,CAP,2.1167667,TON,Bakeries,311812,COMMERCIAL BAKERIES.
CA,06,Alameda,06001,"SONOCO PROTECTIVE SOLUTIONS, INC",194311,3466 ENTERPRISE AVE,HAYWARD,94545,Nitrogen Oxides,CAP,2.0651348,TON,,322211,CORRUGATED AND SOLID FIBER BOX MANUFACTURING.
CA,06,Alameda,06001,THE HILLSHIRE BRANDS CO A SUBSIDIARY OF TYSON FOOD,15721211,2411 BAUMANN AVENUE,SAN LORENZO,94580,Nitrogen Oxides,CAP,2.00954728,TON,,311612,MEAT PROCESSED FROM CARCASSES.
CA,06,Alameda,06001,GILLIG LLC,18129611,DISCOVERY DR & JACK LONDON BLVD,LIVERMORE,94551,Nitrogen Oxides,CAP,2.009130016,TON,,336999,ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING.
CA,06,Alameda,06001,DOE-KAO SANDIA NATIONAL LABORATORIES,195011,7011 EAST AVENUE,LIVERMORE,94550,Nitrogen Oxides,CAP,1.990675144,TON,,541714,
CA,06,Alameda,06001,THERMO FISHER SCIENTIFIC,14267711,6065 SUNOL BOULEVARD,PLEASANTON,94566,Nitrogen Oxides,CAP,1.975921442,TON,,325412,PHARMACEUTICAL PREPARATION MANUFACTURING.
CA,06,Alameda,06001,ARAMARK UNIFORM SERVICES,10457511,330 CHESTNUT STREET,OAKLAND,94607,Nitrogen Oxides,CAP,1.946185,TON,Dry Cleaner - Petroleum Solvent,812332,INDUSTRIAL LAUNDERERS.
CA,06,Alameda,06001,SAFETY-KLEEN OF CALIFORNIA  INC,17413111,6880 SMITH AVENUE,NEWARK,94560,Nitrogen Oxides,CAP,1.914903078,TON,,324191,PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING.
CA,06,Alameda,06001,SAN LEANDRO WATER POLLUTION CONTROL PLANT,203811,3000 DAVIS STREET,SAN LEANDRO,94577,Nitrogen Oxides,CAP,1.9000161,TON,Wastewater Treatment Facility,221320,SEWAGE TREATMENT FACILITIES.
CA,06,Alameda,06001,"ENERGY RECOVERY, INC",15755511,1717 DOOLITTLE DRIVE,SAN LEANDRO,94577,Nitrogen Oxides,CAP,1.813996885,TON,,339999,ALL OTHER MISCELLANEOUS MANUFACTURING.
CA,06,Alameda,06001,SUTTER HEALTH EDEN MEDICAL CENTER,200711,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Nitrogen Oxides,CAP,1.79480655,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,ALTA BATES HOSPITAL,338911,2450 ASHBY AVENUE,BERKELEY,94705,Nitrogen Oxides,CAP,1.764279384,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,HAYWARD WASTE WATER TREATMENT PLANT,1052111,3700 ENTERPRISE AVE,HAYWARD,94545,Nitrogen Oxides,CAP,1.70815279,TON,Wastewater Treatment Facility,221320,SEWAGE TREATMENT FACILITIES.
CA,06,Alameda,06001,BERKELEY ASPHALT CO,808611,699 VIRGINIA STREET,BERKELEY,94710,Nitrogen Oxides,CAP,1.703503,TON,Hot Mix Asphalt Plant,324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING.
CA,06,Alameda,06001,KAISER PERMANENTE MEDICAL CENTER,137211,280 W MACARTHUR BLVD,OAKLAND,94611,Nitrogen Oxides,CAP,1.680661262,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,VALLEYCARE MEDICAL CENTER,478311,5555 W LAS POSITAS BLVD,PLEASANTON,94588,Nitrogen Oxides,CAP,1.606885814,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,CIM GROUP/ORDWAY,15941111,ONE KAISER PLAZA,OAKLAND,94612,Nitrogen Oxides,CAP,1.578680252,TON,,531120,LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES).
CA,06,Alameda,06001,LAM RESEARCH CORPORATION - FREMONT CAMPUS,196211,4650 CUSHING PKWY,FREMONT,94538,Nitrogen Oxides,CAP,1.56786538,TON,,334413,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
CA,06,Alameda,06001,MCLAUGHLIN COFFEE CO INC,806411,6355 HOLLIS STREET,EMERYVILLE,94608,Nitrogen Oxides,CAP,1.54135418,TON,,311920,COFFEE AND TEA MANUFACTURING.
CA,06,Alameda,06001,IRVINGTON MEMORIAL CEMETERY,278111,41001 CHAPEL WAY,FREMONT,94538,Nitrogen Oxides,CAP,1.45368541,TON,Crematory - Human,812210,FUNERAL HOMES AND FUNERAL SERVICES.
CA,06,Alameda,06001,TURK ISLAND SOLID WASTE DISPOSAL SITE,197311,UNION CITY BOULEVARD,UNION CITY,94587,Nitrogen Oxides,CAP,1.43694429,TON,,562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL.
CA,06,Alameda,06001,ASHFORD TRS FREMONT LLC DBA MARRIOTT,18542511,46100 LANDING PKWY,FREMONT,94538,Nitrogen Oxides,CAP,1.40097114,TON,,721110,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS.
CA,06,Alameda,06001,"GRIFOLS DIAGNOSTIC SOLUTIONS, INC",18770711,HORTON STREET,EMERYVILLE,94608,Nitrogen Oxides,CAP,1.394431117,TON,,325412,PHARMACEUTICAL PREPARATION MANUFACTURING.
CA,06,Alameda,06001,"MORTON SALT, INC",401711,7380 MORTON AVENUE,NEWARK,94560,Nitrogen Oxides,CAP,1.337948834,TON,Food Products Processing Plant,311942,SPICE AND EXTRACT MANUFACTURING.
CA,06,Alameda,06001,GENERAL SERVICES ADMINISTRATION-EAST BAY OFFICE,14292411,1301 CLAY STREET,OAKLAND,94612,Nitrogen Oxides,CAP,1.33715707,TON,,921190,OTHER GENERAL GOVERNMENT SUPPORT.
CA,06,Alameda,06001,ST ROSE HOSPITAL,140511,27200 CALAROGA AVE,HAYWARD,94545,Nitrogen Oxides,CAP,1.30968667,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,KAISER PERMANENTE,16014011,5840 OWENS DRIVE,PLEASANTON,94588,Nitrogen Oxides,CAP,1.2785817,TON,,518210,"DATA PROCESSING, HOSTING, AND RELATED SERVICES."
CA,06,Alameda,06001,MASONIC HOMES OF CALIFORNIA,141011,34400 MISSION BOULEVARD,UNION CITY,94587,Nitrogen Oxides,CAP,1.22180436,TON,,423720,PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) MERCHANT WHOLESALERS.
CA,06,Alameda,06001,RICH PRODUCTS CORPORATION,18788411,1600 WHIPPLE ROAD,UNION CITY,94587,Nitrogen Oxides,CAP,1.21684104,TON,,311813,"FROZEN CAKES, PIES, AND OTHER PASTRIES MANUFACTURING."
CA,06,Alameda,06001,APPLE INC,10460711,39800 EUREKA DRIVE,NEWARK,94560,Nitrogen Oxides,CAP,1.17687119,TON,,518210,"DATA PROCESSING, HOSTING, AND RELATED SERVICES."
CA,06,Alameda,06001,BOTTLING GROUP LLC,10482911,29000 HESPERIAN BLVD,HAYWARD,94545,Nitrogen Oxides,CAP,1.156360167,TON,Food Products Processing Plant,312111,SOFT DRINK MANUFACTURING.
CA,06,Alameda,06001,"TESLA, INC",18131511,47700 KATO ROAD,FREMONT,94538,Nitrogen Oxides,CAP,1.15532232,TON,,335131,
CA,06,Alameda,06001,U S VETERANS ADMINISTRATION MEDICAL CENTER,194211,4951 ARROYO ROAD,LIVERMORE,94550,Nitrogen Oxides,CAP,1.105510896,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,"AJINOMOTO FOODS NORTH AMERICA, INC",10467211,2188 ALPINE WAY,HAYWARD,94545,Nitrogen Oxides,CAP,1.1016548,TON,,111998,ALL OTHER MISCELLANEOUS CROP FARMING.
CA,06,Alameda,06001,ALTA BATES SUMMIT MEDICAL CENTER,200611,450 30TH STREET,OAKLAND,94609,Nitrogen Oxides,CAP,1.08401433,TON,"Institutional (school, hospital, prison, etc.)",622110,GENERAL MEDICAL AND SURGICAL HOSPITALS.
CA,06,Alameda,06001,NOVARTIS VACCINES AND DIAGNOSTICS,403511,4560 HORTON STREET,EMERYVILLE,94608,Nitrogen Oxides,CAP,1.076887,TON,,325412,PHARMACEUTICAL PREPARATION MANUFACTURING.
CA,06,Alameda,06001,EVERGREEN CEMETERY,382911,6450 CAMDEN STREET,OAKLAND,94605,Nitrogen Oxides,CAP,1.07553064,TON,Crematory - Human,812210,FUNERAL HOMES AND FUNERAL SERVICES.
CA,06,Alameda,06001,FORMER RICHARD'S AUTO SERVICE C/O STRATUS ENVIRON,18132711,1495 HAYS STREET,SAN LEANDRO,94577,Nitrogen Oxides,CAP,1.050671,TON,,541620,ENVIRONMENTAL CONSULTING SERVICES.
CA,06,Alameda,06001,PCC STRUCTURALS - SAN LEANDRO,3963411,414 HESTER STREET,SAN LEANDRO,94577,Nitrogen Oxides,CAP,1.048138264,TON,,331529,
CA,06,Alameda,06001,ARYZTA,14123411,6500 OVERLAKE PLACE,NEWARK,94560,Nitrogen Oxides,CAP,1.04756062,TON,Bakeries,311812,COMMERCIAL BAKERIES.
CA,06,Alameda,06001,HOSTESS BRANDS CORPORATION,771711,580 JULIE ANN WAY,OAKLAND,94621,Nitrogen Oxides,CAP,0.984748,TON,Bakeries,311812,COMMERCIAL BAKERIES.
CA,06,Alameda,06001,"NEW CINGULAR WIRELESS PCS, LLC DBA AT&T MOBILITY",18344811,"FLYNN RD, SOUTH SIDE OF I 580",LIVERMORE,94550,Nitrogen Oxides,CAP,0.9840497,TON,,517112,
CA,06,Alameda,06001,PACIFIC GALVANIZING,4955911,715 46TH AVENUE,OAKLAND,94601,Nitrogen Oxides,CAP,0.9831261,TON,,332812,"METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS."
